time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729757520000,1024,97.5104,97.51,97.51,97.51,97.51,11
1729757760000,519,97.5252,97.53,97.53,97.53,97.53,8
1729757880000,200,97.3325,97.32,97.32,97.32,97.32,3
1729759200000,3623,97.2128,97.24,97.2,97.24,97.2,34
1729759260000,4515,97.2,97.2,97.2,97.2,97.2,4
1729759740000,5227,97.1999,97.2,97.2,97.2,97.2,5
1729761960000,445,97.3996,97.4,97.4,97.4,97.4,9
1729762440000,1517,97.6999,97.63,97.77,97.77,97.63,83
1729768020000,987,97.4382,97.44,97.44,97.44,97.44,8
1729768140000,390,97.3674,97.36,97.36,97.36,97.36,3
1729769280000,837,97.6113,97.63,97.6,97.63,97.6,8
1729769340000,463,97.5537,97.56,97.55,97.56,97.55,6
1729770900000,190,97.6963,97.69,97.69,97.69,97.69,3
1729771140000,406,97.7688,97.77,97.77,97.77,97.77,16
1729771200000,3134,97.6032,97.4395,97.6,97.72,97.4395,91
1729771320000,222,97.7492,97.8,97.8,97.8,97.8,68
1729771560000,580,97.8,97.8,97.8,97.8,97.8,1
1729771980000,205,97.7966,97.7998,97.7998,97.7998,97.7998,4
1729772340000,253,97.6585,97.66,97.66,97.66,97.66,5
1729772400000,203,97.6305,97.6301,97.6301,97.6301,97.6301,2
1729772460000,1470,97.6105,97.63,97.6,97.63,97.6,18
1729772880000,126,97.5521,97.55,97.55,97.55,97.55,4
1729772940000,1018,97.5599,97.56,97.56,97.56,97.56,6
1729773600000,849,97.6739,97.6712,97.67,97.6712,97.67,13
1729773660000,615,97.6461,97.67,97.6406,97.67,97.6406,5
1729773720000,1006,97.6405,97.6401,97.6406,97.6406,97.6401,4
1729774080000,384,97.6614,97.66,97.66,97.66,97.66,21
1729774200000,1140,97.6489,97.65,97.64,97.65,97.64,7
1729774860000,555,97.5837,97.5795,97.5795,97.5795,97.5795,6
1729774920000,502,97.5797,97.5795,97.5795,97.5795,97.5795,3
1729775160000,198,97.6,97.6,97.6,97.6,97.6,1
1729775220000,119,97.5703,97.5646,97.5646,97.5646,97.5646,4
1729775700000,2018,97.65,97.6501,97.6501,97.6501,97.6501,9
