time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,4842,217.4672,217.42,217.42,217.51,217.42,294
1729670460000,9559,217.1722,217.41,217.23,217.41,217.01,253
1729670520000,3548,217.1473,217.15,217.05,217.19,217.05,205
1729670580000,10251,217.0424,217.02,217.06,217.11,217,246
1729670640000,7444,216.9978,217.01,217,217.05,216.91,244
1729670700000,2041,216.9536,217,216.94,217,216.89,81
1729670760000,5829,216.9542,216.9,217.03,217.03,216.85,104
1729670820000,2112,216.992,217.02,216.99,217.02,216.92,63
1729670880000,5780,217.0365,217,217.11,217.11,216.99,122
1729670940000,1631,217.0273,217.05,217.05,217.05,217,52
1729671000000,3101,216.9947,217,216.92,217.06,216.9,70
1729671060000,1518,217.0011,216.98,217.01,217.03,216.98,41
1729671120000,1272,216.9686,217,216.95,217,216.95,44
1729671180000,3045,217.0001,216.95,217.03,217.03,216.95,65
1729671300000,1685,216.9265,216.94,216.92,216.94,216.92,76
1729671360000,1802,216.9037,216.9,216.9,216.92,216.88,42
1729671420000,1747,216.9516,216.94,216.92,216.99,216.91,60
1729671480000,571,216.9025,216.89,216.88,216.89,216.88,34
1729671540000,1891,216.8865,216.88,216.9,216.9,216.86,57
1729671660000,1490,216.9119,216.9,216.86,217,216.86,58
1729671720000,1378,216.8549,216.85,216.89,216.89,216.85,57
1729671780000,612,216.8703,216.89,216.84,216.89,216.84,20
1729671840000,1448,216.8563,216.85,216.87,216.89,216.85,38
1729671900000,1132,216.8427,216.85,216.87,216.87,216.83,52
1729671960000,524,216.8662,216.93,216.82,216.93,216.82,23
1729672020000,652,216.8963,216.89,216.93,216.93,216.89,28
1729672080000,589,216.9161,216.89,216.89,216.89,216.89,27
1729672140000,513,216.8806,216.88,216.88,216.88,216.88,28
1729672260000,840,216.8559,216.85,216.85,216.85,216.85,28
1729672320000,1095,216.8648,216.86,216.86,216.89,216.86,39
1729672440000,1387,216.8543,216.85,216.88,216.88,216.85,24
1729672500000,1820,216.8615,216.85,216.85,216.88,216.85,47
1729672560000,7683,216.815,216.85,216.8,216.85,216.8,137
1729672620000,4773,216.6647,216.75,216.5,216.76,216.5,128
1729672680000,1679,216.615,216.67,216.56,216.7,216.56,39
1729672740000,636,216.5636,216.55,216.55,216.55,216.55,36
1729672800000,391,216.5695,216.58,216.58,216.58,216.58,78
1729672860000,6994,216.5421,216.53,216.61,216.61,216.5,130
1729672920000,2297,216.572,216.64,216.55,216.66,216.51,42
1729672980000,1924,216.5148,216.54,216.55,216.55,216.5,86
1729673040000,2369,216.4834,216.5,216.47,216.5,216.45,70
1729673100000,2363,216.4833,216.47,216.45,216.5,216.45,74
1729673160000,2567,216.4358,216.45,216.42,216.45,216.41,70
1729673220000,3356,216.3765,216.41,216.35,216.41,216.35,89
1729673280000,1239,216.3727,216.37,216.38,216.38,216.37,42
1729673340000,2489,216.5184,216.43,216.58,216.69,216.43,84
1729673400000,1525,216.61,216.61,216.62,216.63,216.57,52
1729673460000,2316,216.5936,216.61,216.53,216.66,216.53,47
1729673520000,853,216.6338,216.63,216.63,216.63,216.63,43
1729673580000,480,216.6143,216.62,216.62,216.62,216.62,23
1729673640000,1659,216.5912,216.58,216.6,216.61,216.58,44
1729673700000,669,216.568,216.58,216.58,216.58,216.56,32
1729673760000,1190,216.5271,216.53,216.5,216.54,216.5,51
1729673820000,914,216.5433,216.54,216.52,216.58,216.52,30
1729673880000,1053,216.5262,216.54,216.5,216.54,216.5,39
1729673940000,496,216.4523,216.41,216.41,216.41,216.41,27
1729674000000,3294,216.4349,216.46,216.35,216.47,216.35,87
1729674060000,2067,216.3645,216.45,216.35,216.45,216.35,35
1729674120000,1036,216.3661,216.35,216.35,216.41,216.35,44
1729674180000,679,216.3591,216.35,216.36,216.36,216.35,37
1729674240000,3488,216.4229,216.41,216.45,216.45,216.37,66
1729674300000,3782,216.5354,216.53,216.52,216.57,216.5,70
1729674360000,848,216.5295,216.56,216.56,216.56,216.56,33
1729674420000,777,216.5449,216.56,216.56,216.56,216.56,29
1729674480000,3733,216.5562,216.56,216.57,216.62,216.44,1073
1729674540000,1342,216.5616,216.56,216.6,216.6,216.55,32
1729674600000,1291,216.5604,216.59,216.59,216.59,216.51,42
1729674660000,732,216.5306,216.5,216.55,216.55,216.5,30
1729674720000,490,216.5446,216.55,216.55,216.55,216.55,22
1729674780000,503,216.5202,216.51,216.51,216.51,216.51,17
1729674840000,1022,216.5147,216.54,216.54,216.54,216.54,43
1729674900000,2723,216.4347,216.44,216.54,216.54,216.36,118
1729674960000,2771,216.5876,216.55,216.65,216.65,216.55,66
1729675140000,635,216.5329,216.46,216.46,216.46,216.46,32
1729675260000,741,216.4934,216.5,216.47,216.5,216.47,35
1729675320000,1213,216.4973,216.5,216.48,216.5,216.48,27
1729675380000,1222,216.5089,216.5,216.5,216.5,216.5,32
1729675440000,371,216.5443,216.55,216.55,216.55,216.55,20
1729675500000,433,216.5876,216.6,216.6,216.6,216.6,22
1729675560000,1148,216.6374,216.64,216.65,216.65,216.64,37
1729675620000,1426,216.6232,216.65,216.61,216.66,216.57,39
1729675680000,599,216.5919,216.59,216.59,216.59,216.59,18
1729675740000,271,216.6266,216.62,216.62,216.62,216.62,13
1729675860000,1229,216.5861,216.6,216.58,216.6,216.58,35
1729675920000,452,216.5942,216.6,216.6,216.6,216.6,18
1729675980000,375,216.6349,216.64,216.64,216.64,216.64,24
1729676040000,1097,216.634,216.64,216.63,216.64,216.6,38
1729676100000,831,216.6074,216.6,216.6,216.6,216.6,29
1729676220000,2127,216.5943,216.6,216.58,216.6,216.58,73
1729676280000,1049,216.5721,216.57,216.57,216.57,216.57,37
1729676400000,391,216.5213,216.54,216.54,216.54,216.54,24
1729676460000,470,216.5236,216.51,216.51,216.51,216.51,33
1729676580000,518,216.5293,216.52,216.54,216.54,216.52,26
1729676640000,655,216.5294,216.53,216.53,216.53,216.53,14
1729676700000,382,216.5309,216.51,216.51,216.51,216.51,35
1729676820000,502,216.5394,216.53,216.53,216.53,216.53,29
1729676880000,886,216.5823,216.58,216.6,216.6,216.58,36
1729676940000,210,216.5698,216.56,216.56,216.56,216.56,18
1729677120000,1736,216.6165,216.56,216.65,216.65,216.56,43
1729677180000,5988,216.751,216.65,216.89,216.9,216.65,158
1729677240000,1018,216.8974,216.89,216.9,216.9,216.89,37
1729677300000,842,216.8824,216.85,216.9,216.9,216.85,33
1729677360000,545,216.8899,216.9,216.9,216.9,216.9,25
1729677420000,642,216.8774,216.89,216.81,216.89,216.81,35
1729677480000,1857,216.8926,216.89,216.85,216.91,216.85,43
1729677540000,751,216.9211,216.93,216.93,216.93,216.93,33
1729677600000,1378,216.9046,216.95,216.91,216.95,216.91,28
1729677720000,1299,216.7988,216.81,216.79,216.85,216.75,45
1729677780000,1894,216.7371,216.77,216.7,216.78,216.7,42
1729677840000,304,216.7133,216.73,216.73,216.73,216.73,12
1729677900000,350,216.6929,216.7,216.7,216.7,216.7,23
1729678080000,837,216.592,216.61,216.63,216.63,216.61,54
1729678140000,622,216.5524,216.54,216.54,216.54,216.54,24
1729678200000,7239,216.533,216.54,216.64,216.64,216.5,52
1729678260000,798,216.549,216.54,216.51,216.55,216.51,26
1729678320000,2352,216.6416,216.56,216.6,216.69,216.56,46
1729678380000,2906,216.6897,216.69,216.61,216.71,216.61,43
1729678560000,640,216.5992,216.58,216.58,216.58,216.58,23
1729678620000,1358,216.5969,216.61,216.61,216.61,216.61,30
1729678740000,1930,216.5077,216.52,216.5,216.52,216.5,58
1729678800000,749,216.5264,216.52,216.54,216.54,216.52,36
1729678860000,1722,216.5879,216.6,216.6,216.6,216.6,30
1729678920000,862,216.5584,216.53,216.6,216.6,216.53,28
1729678980000,188,216.6491,216.65,216.65,216.65,216.65,12
1729679040000,507,216.6501,216.65,216.65,216.65,216.65,12
1729679100000,708,216.5954,216.61,216.56,216.61,216.56,35
1729679220000,1838,216.5591,216.56,216.55,216.56,216.55,34
1729679340000,717,216.566,216.56,216.57,216.57,216.56,21
1729679400000,2097,216.6255,216.59,216.58,216.65,216.56,48
1729679460000,1058,216.6087,216.62,216.6,216.62,216.6,20
1729679520000,1708,216.6504,216.66,216.65,216.67,216.64,44
1729679580000,560,216.6522,216.65,216.67,216.67,216.65,22
1729679760000,703,216.6411,216.65,216.66,216.66,216.65,32
1729679820000,1291,216.6572,216.66,216.65,216.66,216.65,39
1729679940000,903,216.6427,216.64,216.65,216.65,216.64,29
1729680000000,1653,216.5928,216.6,216.57,216.6,216.57,65
1729680060000,941,216.5216,216.52,216.51,216.52,216.51,26
1729680120000,473,216.5494,216.59,216.52,216.59,216.52,19
1729680180000,971,216.5312,216.5,216.56,216.56,216.5,58
