time,trade_volume,volume_weight_avg_price,open,close,highest_in_interval,lowest_in_interval,transactions
1729670400000,476,160.3954,160.48,160.48,160.48,160.48,12
1729670880000,130,160.22,160.22,160.22,160.22,160.22,1
1729671120000,574,160.0632,160,160.1,160.1,160,13
1729671780000,1458,160.0013,160,160,160,160,6
1729672200000,326,160.2662,160.18,160.18,160.18,160.18,10
1729672380000,1800,160.0002,160,160,160,160,2
1729673100000,287,160.308,160.43,160.43,160.43,160.43,7
1729673160000,839,160.4211,160.43,160.43,160.43,160.43,8
1729673460000,292,160,160,160,160,160,3
1729674000000,346,159.8845,159.84,159.84,159.84,159.84,16
1729674480000,317,159.8051,159.8,159.8,159.8,159.8,12
1729674660000,611,159.8098,159.81,159.81,159.81,159.81,5
1729676160000,150,160,160,160,160,160,2
1729676880000,242,159.9462,159.96,159.96,159.96,159.96,9
1729677660000,1019,159.7664,159.8,159.56,159.8,159.56,14
1729677720000,311,159.6894,159.7,159.7,159.7,159.7,9
1729677780000,2512,159.2154,159.48,159.18,159.48,159.18,53
1729678140000,1224,159.9996,160,160,160,160,28
1729678260000,151,159.91,159.91,159.91,159.91,159.91,2
1729678560000,400,159.9216,159.94,159.95,159.95,159.94,5
1729678680000,500,159.992,160,160,160,160,2
1729679040000,494,159.754,159.76,159.75,159.76,159.75,7
1729679100000,669,159.7507,159.75,159.75,159.75,159.75,3
1729679280000,130,159.85,159.85,159.85,159.85,159.85,1
1729680300000,260,159.9608,160,160,160,160,10
1729681020000,302,159.8987,159.94,159.94,159.94,159.94,6
1729681200000,10091,160.0238,159.88,160.1,161,159.8,138
1729681260000,535,159.9963,160,160,160,160,5
1729681440000,1185,160.1331,160,160.3,160.3,160,30
1729681500000,1243,160.0302,160.14,160,160.14,160,11
1729681620000,501,159.8082,159.8,159.8,159.8,159.8,7
1729681680000,1663,159.7985,159.8,159.8,159.8,159.8,6
1729681800000,3110,159.5924,159.7,159.5,159.7,159.5,28
1729681860000,150,159.4217,159.5,159.5,159.5,159.5,3
1729682220000,150,159.35,159.35,159.35,159.35,159.35,3
1729682280000,255,159.35,159.35,159.35,159.35,159.35,3
1729682340000,769,159.2513,159.25,159.25,159.25,159.25,4
1729682400000,181,159.2537,159.25,159.25,159.25,159.25,4
1729682460000,613,159.35,159.35,159.35,159.35,159.35,5
1729682640000,106,159.2783,159.27,159.27,159.27,159.27,3
1729682700000,205,159.3976,159.4,159.4,159.4,159.4,4
1729682760000,2215,159.39,159.39,159.39,159.39,159.39,31
1729682820000,623,159.3997,159.4,159.4,159.4,159.4,6
1729682940000,2185,159.4,159.4,159.4,159.4,159.4,4
1729683000000,16261,158.1669,159,159,159.2,156.95,297
1729683060000,23596,159.8503,158.98,159.55,160.77,158.98,261
1729683120000,10688,159.4589,159.42,160.18,160.18,158.78,165
1729683180000,4169,160.2762,160.47,160.45,160.47,160,88
1729683240000,10501,160.637,160.65,160,161,160,176
1729683300000,939,159.909,160.01,159.98,160.01,159.98,28
1729683360000,3138,159.8737,159.75,159.98,159.98,159.75,36
1729683420000,10693,159.878,159.85,159.76,160,159.75,93
1729683480000,1153,159.7996,159.84,159.84,159.84,159.75,11
1729683540000,347,159.7928,159.8,159.77,159.8,159.77,7
1729683600000,2831,159.7515,159.75,159.76,159.76,159.75,108
1729683660000,7507,159.3726,159.8,159.2,159.8,158.73,108
1729683720000,1761,159.2056,159.48,159.2,159.48,159.2,29
1729683780000,2481,159.1104,159.2,159.15,159.2,159,29
1729683840000,9330,158.8242,159.2,158.6,159.24,158.49,71
1729683900000,1161,158.7891,158.9,158.6,158.9,158.6,11
1729683960000,5558,158.2221,158.45,158.25,158.45,158,84
1729684020000,2430,158.6979,158.3,159,159,158.3,52
1729684080000,382,158.609,158.6,158.6,158.6,158.6,8
1729684140000,1677,158.4866,158.5,158.4,158.56,158.4,24
